Unnamed: 0,is_vulnerable,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv
3594,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3595,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3596,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3597,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3598,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3599,0,Tuleap,50.333333333333336,46.333333333333336,0.0,0.0,2.333333333333333,7.0,2.083333333333333,124.89182621909394
3600,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3601,0,Tuleap,53.54545454545455,49.63636363636363,1.818181818181818,0.0,2.0,7.818181818181818,1.460606060606061,150.15373774347526
3602,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3603,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3604,0,Tuleap,181.0,158.6,1.2,0.0,5.8,19.6,1.55,261.8113646503353
3605,0,Tuleap,113.0,109.25,0.5,0.0,13.5,10.25,1.34090909090909,608.7921139616308
3606,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3607,0,Tuleap,578.0,518.0,2.0,0.0,4.0,19.0,1.0,496.2242162738
3608,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3609,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3610,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3611,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3612,0,Tuleap,65.33333333333333,57.0,1.333333333333333,0.0,9.333333333333334,7.333333333333333,1.2,68.78548373909587
3613,0,Tuleap,41.95454545454545,38.31818181818182,0.7272727272727271,0.0,8.954545454545455,5.954545454545454,1.339502164502164,64.7195473130626
3614,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3615,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3616,0,Tuleap,159.1818181818182,147.36363636363637,1.09090909090909,0.0,12.454545454545457,14.454545454545457,1.631313131313131,290.5325604026047
3617,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3618,0,Tuleap,84.85714285714286,81.57142857142857,1.428571428571428,0.0,1.714285714285714,4.571428571428571,0.877551020408163,102.08605395604864
3619,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3620,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3621,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3622,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3623,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3624,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3625,0,Tuleap,29.0,24.0,2.0,0.0,0.0,4.0,1.0,26.05438885024425
3626,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3627,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3628,0,Tuleap,82.0,81.0,0.5,0.0,7.0,11.5,1.771645021645021,573.9584169412832
3629,0,Tuleap,58.266666666666666,56.0,0.9333333333333332,0.0,2.933333333333333,5.866666666666666,1.503703703703703,166.38022371062328
3630,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3631,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3632,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3633,0,Tuleap,200.0,126.0,0.0,0.0,11.0,25.0,1.9090909090909087,278.85996200592183
3634,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3635,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3636,0,Tuleap,167.1818181818182,147.22727272727272,2.272727272727273,0.5,11.0,17.90909090909091,1.423716073050146,195.6040892097979
3637,0,Tuleap,186.0,172.0,1.0,0.0,17.0,17.0,1.615384615384615,312.35651860479186
3638,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3639,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3640,0,Tuleap,337.77777777777777,313.7407407407408,1.444444444444444,0.037037037037037,41.07407407407408,36.55555555555556,1.402224359282221,194.9531508547868
3641,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3642,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3643,0,Tuleap,173.0,122.0,2.0,0.0,24.0,23.0,3.75,618.977646943065
3644,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3645,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3646,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3647,0,Tuleap,85.25,81.5,1.75,0.25,3.0,5.5,0.833333333333333,106.1059286585916
3648,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3649,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3650,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3651,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3652,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3653,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3654,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3655,0,Tuleap,288.2,285.0,0.8,0.0,12.8,16.2,1.8279220779220784,559.1836596512791
3656,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3657,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3658,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3659,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3660,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
