Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv,author_info.public_repos,author_info.followers,author_info.following,author_info.public_gists,time_difference
3280,0,881,699,0.0437723088,0,56,0.105065666,1.0,1.0,1.0,0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,570.0,570.0,570.0,1.0,Shopware,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,21.0,11.0,0.0,1826.0
3281,0,1264,878,0.5705003249,0,10,0.5882352941,1.0,1.0,1.0,1,3.0,34.0,8.0,2.6666666667000003,1.0,4.0,1.3333333333,1.0,3.0,1.0,1.0,930.0,310.0,309.0,5309.0,1769.6666666667,1253.0,2.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,3037.0
3282,1,221,183,0.2370466321,0,24,0.3529411765,0.4351145038,0.6335877863,0.6259541985,0,3.0,21.0,543.0,181.0,12.0,224.0,74.6666666667,12.0,76.0,25.3333333333,3.0,243.0,81.0,73.0,2501.0,833.6666666667,529.0,2.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,301.0,166.0,62.0,37.0,672.0
3283,1,527,482,0.4800796813,0,26,0.7878787879,0.2885789015,0.0244115083,0.1203138622,0,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,2300.0
3285,0,2073,1276,0.5574486675,0,43,0.5443037975,0.8,1.0,1.0,0,3.0,44.0,87.0,29.0,1.0,35.0,11.6666666667,1.0,9.0,3.0,1.0,1142.0,380.6666666667,387.0,7738.0,2579.3333333333,2063.0,1.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,3846.0
3286,1,1274,879,0.5707792208,0,10,0.625,0.0,0.0,0.0,0,4.0,34.0,50.0,16.6666666667,1.0,44.0,11.0,6.0,9.0,2.25,1.5,969.0,242.25,291.0,6091.0,1522.75,1263.0,11.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,3047.0
3287,1,903,659,0.5263578275,0,17,1.0,0.0,0.0,0.0,0,5.0,28.0,295.0,59.0,2.0,312.0,78.0,2.0,96.0,19.2,2.0,705.0,141.0,186.0,4610.0,922.0,893.0,1.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,2676.0
3288,1,1067,9,0.0066864785,0,4,0.1428571429,0.0,1.0,1.0,0,1.0,24.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,299.0,299.0,299.0,2607.0,2607.0,2607.0,0.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.0,65.0,2.0,3.0,1908.0
3289,1,1302,918,0.5751879699,0,40,0.7017543860000001,0.0,1.0,0.6666666667000001,1,3.0,35.0,30.0,10.0,1.0,21.0,7.0,1.0,9.0,3.0,1.0,1008.0,336.0,336.0,5426.0,1808.6666666667,1292.0,1.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,3076.0
3290,1,1336,945,0.5811808118,0,22,0.9166666667,1.0,1.0,0.0909090909,0,3.0,35.0,18.0,6.0,1.0,34.0,11.3333333333,1.0,7.0,2.3333333333,1.0,1030.0,343.3333333333,345.0,5528.0,1842.6666666667,1326.0,1.0,PrivateBin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,19.0,1.0,0.0,3110.0
