Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname
3497,1,1380,1871,0.0696497041,0,152,0.3070707071,0.0,0.0,1.0,0,5.0,31.0,72.0,18.0,1.5,73.0,24.3333333333,26.0,11.0,2.2,1.0,926.0,185.2,210.0,10258.0,2051.6,1696.0,0.0,Tuleap
3498,0,4072,12812,0.1588277589,0,51,0.1211401425,0.0,0.0,0.0,1,2.0,12.0,4.0,2.0,2.0,3.0,1.5,1.5,3.0,1.5,1.5,89.0,44.5,44.5,6336.0,3168.0,3168.0,0.0,Tuleap
3499,1,1539,94,0.0032720691,0,8,0.0243902439,0.3169398907,0.8879781421,0.7759562842000001,0,28.0,12.0,1071.0,38.25,14.5,578.0,26.2727272727,4.5,86.0,3.0714285714,1.0,325.0,13.5416666667,3.0,8225.0,342.7083333333,326.0,2.0,Tuleap
3500,0,4180,12903,0.1570720781,0,22,0.0471092077,1.0,0.0,1.0,1,1.0,22.0,3.0,3.0,3.0,26.0,26.0,26.0,2.0,2.0,2.0,175.0,175.0,175.0,7035.0,7035.0,7035.0,0.0,Tuleap
3501,1,-1912,635,0.2197992385,0,75,0.5208333333,0.0,0.0,1.0,0,14.0,9.0,1242.0,138.0,16.0,1938.0,161.5,14.0,27.0,1.9285714286,1.0,197.0,16.4166666667,10.0,9017.0,751.4166666667,95.0,2.0,Tuleap
3502,1,-2003,38,0.0147515528,0,38,0.2602739726,0.0,1.0,1.0,0,4.0,8.0,59.0,14.75,11.0,50.0,12.5,12.0,11.0,2.75,2.5,47.0,11.75,11.0,6723.0,1680.75,1878.5,0.0,Tuleap
3503,1,-1911,659,0.225068306,0,99,0.5409836066,0.1304347826,1.0,0.1304347826,0,1.0,6.0,27.0,27.0,27.0,1.0,1.0,1.0,2.0,2.0,2.0,20.0,20.0,20.0,944.0,944.0,944.0,0.0,Tuleap
3504,1,-2617,96,0.0859444942,0,11,0.34375,,,,0,13.0,6.0,478.0,36.7692307692,10.0,294.0,24.5,13.5,89.0,6.8461538462,4.0,125.0,10.4166666667,7.0,12480.0,1040.0,1499.5,0.0,Tuleap
3505,1,-2855,76,0.0847268673,0,5,0.7142857143,0.3834710744,0.3768595041,0.6561983471,0,35.0,7.0,2429.0,71.4411764706,33.5,432.0,20.5714285714,5.0,89.0,2.5428571429,1.0,290.0,11.1538461538,9.0,28813.0,1108.1923076923,1261.0,1.0,Tuleap
3506,1,1534,193,0.0067268481,0,51,0.1356382979,0.641025641,0.641025641,0.3247863248,0,6.0,36.0,286.0,47.6666666667,29.5,144.0,48.0,33.0,30.0,5.0,1.0,383.0,95.75,67.5,11134.0,2783.5,2661.5,0.0,Tuleap
3507,0,1142,1362,0.0550837175,0,81,0.3820754717,,,,0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,317.0,317.0,317.0,1261.0,1261.0,1261.0,3.0,Tuleap
3508,0,-1439,1006,0.2325473879,0,58,0.2660550459,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3509,0,223,138,0.0083666788,0,47,0.0981210856,,,,0,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,6.0,6.0,57.0,57.0,57.0,0.0,Tuleap
3510,0,-218,453,0.0515182532,0,47,0.2781065089,1.0,0.7719298246,1.0,1,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,446.0,446.0,446.0,1.0,Tuleap
3511,0,-1512,1209,0.3009708738,0,104,0.7272727273,,,,0,2.0,8.0,15.0,7.5,7.5,0.0,0.0,0.0,2.0,1.0,1.0,126.0,63.0,63.0,2032.0,1016.0,1016.0,0.0,Tuleap
3512,0,2107,2821,0.0733661023,0,131,0.2179700499,0.0,0.0,0.0,0,5.0,13.0,10.0,2.5,1.0,40.0,10.0,1.0,5.0,1.0,1.0,62.0,15.5,14.5,4910.0,1636.6666666667,2449.0,0.0,Tuleap
3513,0,2078,3756,0.0991081324,0,109,0.1844331641,1.0,1.0,1.0,1,11.0,11.0,77.0,7.0,5.0,13.0,2.6,3.0,21.0,1.9090909091,2.0,217.0,24.1111111111,19.0,8720.0,968.8888888889,1218.0,0.0,Tuleap
3514,0,4122,1527,0.018772359,0,22,0.0494382022,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3515,0,-3043,531,0.6977660972,0,21,0.5384615385,,,,1,3.0,5.0,24.0,8.0,2.0,29.0,9.6666666667,3.0,3.0,1.0,1.0,37.0,12.3333333333,5.0,1409.0,469.6666666667,168.0,3.0,Tuleap
3516,0,1736,370,0.0116885168,0,69,0.1056661562,0.7402597403000001,1.0,0.5064935065,0,4.0,27.0,131.0,32.75,27.5,2.0,2.0,2.0,9.0,2.25,2.5,557.0,139.25,115.5,7153.0,1788.25,1803.0,0.0,Tuleap
3517,0,-2714,142,0.1373307544,0,4,0.3076923077,,,,0,1.0,3.0,721.0,721.0,721.0,13.0,13.0,13.0,14.0,14.0,14.0,11.0,11.0,11.0,590.0,590.0,590.0,0.0,Tuleap
3518,0,447,1744,0.091731538,0,41,0.2369942197,0.8205128205000001,1.0,0.9743589744,0,13.0,25.0,79.0,7.1818181818,8.0,25.0,3.125,2.5,18.0,1.3846153846,1.0,982.0,75.5384615385,27.0,6298.0,484.4615384615,762.0,2.0,Tuleap
3519,0,-292,500,0.0605693519,0,12,0.0305343511,,,,0,2.0,18.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,122.0,61.0,61.0,2406.0,1203.0,1203.0,0.0,Tuleap
3520,0,2898,6106,0.1081358694,0,62,0.101141925,1.0,1.0,1.0,0,7.0,23.0,108.0,18.0,9.0,63.0,9.0,2.0,33.0,4.7142857143,2.0,325.0,46.4285714286,17.0,7694.0,1282.3333333333,599.0,0.0,Tuleap
3521,0,3873,8107,0.1051532485,0,105,0.2007648184,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3522,0,-567,71,0.0110419907,0,23,0.201754386,,,,0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,167.0,83.5,83.5,2963.0,1481.5,1481.5,0.0,Tuleap
3523,0,-1073,1886,0.3294323144,0,17,0.2931034483,,,,1,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,21.0,1034.0,1034.0,1034.0,0.0,Tuleap
3524,0,3192,9614,0.1516714784,0,79,0.0859630033,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3525,0,4255,8488,0.1016673055,0,31,0.0513245033,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3526,0,2197,210,0.0052363854,0,41,0.0620272315,1.0,1.0,1.0,1,1.0,6.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,16.0,16.0,16.0,2547.0,2547.0,2547.0,0.0,Tuleap
3527,0,-77,461,0.0440810862,0,64,0.1391304348,,,,1,1.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,41.0,41.0,3844.0,3844.0,3844.0,0.0,Tuleap
3528,0,3374,4461,0.0656222418,0,101,0.1406685237,,,,1,11.0,16.0,21.0,1.9090909091,1.0,12.0,1.3333333333,1.0,13.0,1.1818181818,1.0,449.0,40.8181818182,39.0,37402.0,3400.1818181818,3717.0,0.0,Tuleap
3529,0,3948,12550,0.159695624,0,146,0.1951871658,,,,0,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,166.0,166.0,166.0,0.0,Tuleap
3530,0,4265,278,0.0033226165,0,89,0.1561403509,,,,0,1.0,1.0,28.0,28.0,28.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,0.0,Tuleap
3531,0,2277,300,0.0071285999,0,38,0.0491591203,0.0,0.0,0.0,0,1.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,10.0,10.0,10.0,542.0,542.0,542.0,0.0,Tuleap
3532,0,3174,8831,0.1403238365,0,249,0.2580310881,,,,0,4.0,14.0,29.0,14.5,14.5,74.0,18.5,13.0,5.0,1.25,1.0,125.0,31.25,36.0,11221.0,2805.25,3516.0,0.0,Tuleap
3533,0,3978,12627,0.159510365,0,78,0.1342512909,,,,0,4.0,7.0,10.0,2.5,2.5,10.0,2.5,2.5,6.0,1.5,1.0,128.0,32.0,31.5,3937.0,984.25,1032.0,0.0,Tuleap
3534,0,3135,288,0.0046651008,0,71,0.1243432574,1.0,1.0,0.8378378378,0,8.0,17.0,181.0,22.625,7.5,28.0,7.0,1.5,13.0,1.625,1.5,90.0,11.25,4.0,9435.0,1179.375,69.0,0.0,Tuleap
3535,0,2485,1081,0.0232748412,0,3,0.0044052863,,,,1,,,,,,,,,,,,,,,,,,,Tuleap
3536,0,3551,10740,0.1505319074,0,161,0.2421052632,0.0,0.0,0.0,1,14.0,24.0,82.0,5.8571428571,1.5,61.0,5.0833333333,1.0,21.0,1.5,1.0,653.0,46.6428571429,40.0,44032.0,3145.1428571429,3830.5,4.0,Tuleap
3537,0,-540,132,0.0200760456,0,64,0.4155844156,,,,0,1.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,30.0,30.0,30.0,1466.0,1466.0,1466.0,0.0,Tuleap
3538,0,2205,3237,0.0802668121,0,140,0.1792573624,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3539,0,1869,896,0.026233348,0,92,0.1703703704,,,,0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,193.0,193.0,193.0,594.0,594.0,594.0,1.0,Tuleap
3540,0,772,526,0.0241074293,0,13,0.0522088353,1.0,1.0,1.0,0,1.0,7.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,33.0,33.0,392.0,392.0,392.0,0.0,Tuleap
